Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
1.320833;30.24542;14.5796;99.8124187;1.366751;0.03469334;0.223409;99.96571;0.02006406
1.329166;30.35354;14.5793;99.81036489;1.353511;0.03239041;0.2086609;100.0427;0.02015976
1.3375;30.45604;14.57899;99.80824262;1.339968;0.03004139;0.1936046;99.92378;0.02028992
1.345833;30.56043;14.57867;99.80605189;1.326236;0.02766648;0.178369;100.0582;0.02033265
1.354166;30.67913;14.57833;99.80372424;1.312385;0.025273;0.1630008;99.9664;0.02043077
1.3625;30.79166;14.57798;99.80132813;1.298418;0.02286081;0.1474992;100.0394;0.02057173
1.370833;30.89472;14.57766;99.7991374;1.284424;0.02044754;0.1319777;99.97256;0.02067351
1.379167;31.00138;14.57732;99.79680975;1.270434;0.01803654;0.1164585;100.0227;0.02081632
1.3875;31.11125;14.57698;99.7944821;1.256338;0.01560979;0.1008254;100.0092;0.02092271
1.395834;31.22177;14.57664;99.79215445;1.242514;0.01322428;0.08544511;100.0357;0.02102997
1.404167;31.33805;14.57628;99.78968987;1.228485;0.01080963;0.06986213;99.98592;0.02117965
1.4125;31.44576;14.5759;99.78708838;1.213904;0.008310945;0.05372231;99.94903;0.02128783
1.420834;31.55765;14.57555;99.78469227;1.199711;0.00587229;0.03795843;100.0068;0.02139843
1.429167;31.66489;14.5752;99.78229616;1.185659;0.003453269;0.02230838;100.0306;0.02154988
1.4375;31.77652;14.57485;99.77990005;1.171498;0.001022195;0.00656582;99.96892;0.02166555
1.445833;31.88791;14.57449;99.77743548;1.157282;-0.0014151;-0.0092313;99.97881;0.02178216
1.454166;32.0047;14.57413;99.7749709;1.142744;-0.0038985;-0.02534173;100.0381;0.0219437
1.4625;32.10914;14.5738;99.77271171;1.127818;-0.0064386;-0.04183285;99.9709;0.02206177
1.470833;32.225;14.57343;99.77017868;1.112411;-0.0090472;-0.0587834;100.021;0.02218001
1.479166;32.34019;14.57306;99.76764565;1.097125;-0.01163792;-0.07563212;99.98554;0.02229842
1.4875;32.44606;14.5727;99.76518108;1.081953;-0.01420874;-0.09236669;100.0215;0.02241826
1.495833;32.5636;14.57234;99.76271651;1.06698;-0.01674729;-0.1089068;99.99397;0.02259039
1.504167;32.67471;14.57197;99.76018347;1.051437;-0.0193697;-0.1260058;100.0099;0.02264987
1.5125;32.79215;14.57158;99.75751352;1.035636;-0.02202902;-0.1433597;99.98188;0.02277373
1.520834;32.90244;14.5712;99.75491203;1.020236;-0.02462799;-0.1603356;99.97588;0.0229008
1.529167;33.01346;14.57084;99.75244746;1.005149;-0.02717908;-0.1770142;100.0599;0.02302776
1.5375;33.13566;14.57047;99.74991442;0.9900299;-0.02973332;-0.1937288;99.94118;0.02320847
1.545834;33.24352;14.57007;99.74717601;0.9750158;-0.03227182;-0.2103561;100.0268;0.02333845
1.554167;33.36291;14.56969;99.74457452;0.9604109;-0.03474912;-0.2265996;100.0396;0.02347128
1.5625;33.47213;14.56929;99.74183611;0.9457578;-0.03722978;-0.2428784;99.97768;0.02360095
1.570833;33.58494;14.56887;99.73896077;0.9310694;-0.03971446;-0.2591987;99.99257;0.02373445
1.579166;33.70141;14.56847;99.73622236;0.9165085;-0.04217956;-0.2754061;99.99301;0.02392505
1.5875;33.81981;14.56806;99.73341549;0.9018419;-0.04465846;-0.2917189;99.99134;0.02405763
1.595833;33.93592;14.56766;99.73067707;0.8872689;-0.04712156;-0.3079434;100.0015;0.02419076
1.604166;34.05629;14.56724;99.72780174;0.8721672;-0.049662;-0.324689;100.0034;0.02432412
