Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
1.095833;33.27532;12.30413;99.7335657;0.6337871;-0.0826707;-0.53913;99.91809;0.0340105
1.104166;33.35291;12.3038;99.73089082;0.632128;-0.08313722;-0.5423395;99.99576;0.03361982
1.1125;33.4361;12.3035;99.72845911;0.6305231;-0.08359755;-0.5455128;100.0402;0.03335796
1.120833;33.52539;12.3032;99.7260274;0.6291542;-0.0840273;-0.5484914;99.9962;0.03296946
1.129167;33.61368;12.30292;99.7237578;0.6278444;-0.08445026;-0.5514288;99.96954;0.0325854
1.1375;33.69166;12.30265;99.72156926;0.6263066;-0.08490563;-0.5545795;100.026;0.0322059
1.145834;33.77725;12.30236;99.71921861;0.6249047;-0.08534089;-0.5576002;100.0229;0.03183186
1.154167;33.86144;12.3021;99.71711113;0.6231232;-0.08583282;-0.5609948;99.9468;0.0314613
1.1625;33.94531;12.30182;99.71484153;0.6218296;-0.08625488;-0.563935;100.0202;0.0312027
1.170834;34.02713;12.3015;99.71224771;0.6207734;-0.08664259;-0.5666538;99.99897;0.03084116
1.179167;34.11875;12.30122;99.70997811;0.619547;-0.08705776;-0.5695559;100.0353;0.03060398
1.1875;34.2046;12.30094;99.70770852;0.6178137;-0.08754786;-0.5729516;99.96741;0.03025336
1.195833;34.3001;12.30063;99.70519575;0.6160268;-0.0880484;-0.5764208;100.031;0.02980426
1.204166;34.38208;12.30033;99.70276404;0.6143035;-0.08854028;-0.579836;99.94705;0.02959372
1.2125;34.47472;12.30002;99.70025128;0.6123402;-0.08906597;-0.5834736;100.022;0.02936082
1.220833;34.55932;12.29973;99.69790062;0.6108961;-0.08951775;-0.5866306;99.99059;0.02905364
1.229166;34.65023;12.29948;99.6958742;0.6092115;-0.09000556;-0.5900266;100.0807;0.02875339
